,dataset,mode,size,channels,auc,class,f1,run
275,pokemon,test,4,768.0,,5,,0
276,pokemon,test,4,768.0,0.3333333333333333,6,,0
277,pokemon,test,4,768.0,,7,,0
278,pokemon,test,4,768.0,0.4,8,,0
279,pokemon,test,4,768.0,,9,,0
280,pokemon,test,4,768.0,0.6785714285714285,10,,0
281,pokemon,test,4,768.0,0.5,11,,0
282,pokemon,test,4,768.0,,12,,0
283,pokemon,test,4,768.0,0.3571428571428571,13,,0
284,pokemon,test,4,768.0,,14,,0
285,pokemon,test,4,768.0,0.06666666666666665,15,,0
286,pokemon,test,4,768.0,,16,,0
287,pokemon,test,4,768.0,0.255952380952381,17,,0
288,pokemon,test,4,768.0,,0,,1
289,pokemon,test,4,768.0,0.3620689655172414,1,,1
290,pokemon,test,4,768.0,0.5128205128205128,2,,1
291,pokemon,test,4,768.0,0.3809523809523809,3,,1
292,pokemon,test,4,768.0,0.6,4,,1
293,pokemon,test,4,768.0,,5,,1
294,pokemon,test,4,768.0,0.6785714285714286,6,,1
295,pokemon,test,4,768.0,,7,,1
296,pokemon,test,4,768.0,0.6666666666666667,8,,1
297,pokemon,test,4,768.0,,9,,1
298,pokemon,test,4,768.0,0.5238095238095238,10,,1
299,pokemon,test,4,768.0,0.4533333333333334,11,,1
300,pokemon,test,4,768.0,,12,,1
301,pokemon,test,4,768.0,0.4166666666666666,13,,1
302,pokemon,test,4,768.0,,14,,1
303,pokemon,test,4,768.0,0.9666666666666668,15,,1
304,pokemon,test,4,768.0,,16,,1
305,pokemon,test,4,768.0,0.4404761904761905,17,,1
306,pokemon,test,4,768.0,,0,,2
307,pokemon,test,4,768.0,0.1724137931034483,1,,2
308,pokemon,test,4,768.0,0.5470085470085471,2,,2
309,pokemon,test,4,768.0,0.4761904761904762,3,,2
310,pokemon,test,4,768.0,0.5461538461538462,4,,2
311,pokemon,test,4,768.0,,5,,2
312,pokemon,test,4,768.0,0.23809523809523805,6,,2
313,pokemon,test,4,768.0,,7,,2
314,pokemon,test,4,768.0,0.7666666666666666,8,,2
315,pokemon,test,4,768.0,,9,,2
316,pokemon,test,4,768.0,0.08333333333333333,10,,2
317,pokemon,test,4,768.0,0.5666666666666667,11,,2
318,pokemon,test,4,768.0,,12,,2
319,pokemon,test,4,768.0,0.5357142857142856,13,,2
320,pokemon,test,4,768.0,,14,,2
321,pokemon,test,4,768.0,0.33333333333333337,15,,2
322,pokemon,test,4,768.0,,16,,2
323,pokemon,test,4,768.0,0.17857142857142855,17,,2
324,pokemon,train,4,3072.0,0.4625850340136055,0,,0
325,pokemon,train,4,3072.0,0.4980237154150197,1,,0
326,pokemon,train,4,3072.0,0.4732954545454545,2,,0
327,pokemon,train,4,3072.0,0.3770180436847104,3,,0
328,pokemon,train,4,3072.0,0.4636363636363636,4,,0
329,pokemon,train,4,3072.0,0.368595041322314,5,,0
330,pokemon,train,4,3072.0,0.5422413793103449,6,,0
331,pokemon,train,4,3072.0,0.4155172413793104,7,,0
332,pokemon,train,4,3072.0,0.430327868852459,8,,0
